Textbox1
"Omejitve izpisa:
Leto: 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017
ReCO: vse
Občina: vse
Vrsta enote: Prostovoljna teritorialna gasilska društva, Poklicne gasilske enote, Industrijska gasilska društva"

VrstaDogodka1,Leto1,Textbox40,Dogodek,PKID2,Textbox29
IGE,2015,11,Požari v objektih,8,Kompleksni industrijski objekti,1,6.955
IGE,2016,11,Požari v objektih,4,Kompleksni industrijski objekti,4,7.496
IGE,2017,23,Požari v objektih,16,Kompleksni industrijski objekti,5,8.595
IGE,2005,14,Požari v objektih,13,Drugi gradbeni inženirski objekti,1,6.831
IGE,2006,17,Požari v objektih,10,Drugi gradbeni inženirski objekti,0,8.550
IGE,2007,20,Požari v objektih,13,Drugi gradbeni inženirski objekti,0,8.449
IGE,2008,12,Požari v objektih,5,Drugi gradbeni inženirski objekti,0,7.177
IGE,2009,19,Požari v objektih,10,Drugi gradbeni inženirski objekti,0,7.910
IGE,2010,10,Požari v objektih,7,Drugi gradbeni inženirski objekti,0,5.725
IGE,2011,16,Požari v objektih,5,Drugi gradbeni inženirski objekti,0,8.223
IGE,2012,9,Požari v objektih,6,Drugi gradbeni inženirski objekti,0,9.137
IGE,2013,12,Požari v objektih,7,Drugi gradbeni inženirski objekti,0,7.130
IGE,2014,3,Požari v objektih,2,Drugi gradbeni inženirski objekti,0,5.917
IGE,2015,11,Požari v objektih,8,Drugi gradbeni inženirski objekti,0,6.955
IGE,2016,11,Požari v objektih,4,Drugi gradbeni inženirski objekti,0,7.496
IGE,2017,23,Požari v objektih,16,Drugi gradbeni inženirski objekti,0,8.595
IGE,2005,14,Požari na prometnih sredstvih,1,požari na sredstvih cestnega prometa,1,6.831
IGE,2006,17,Požari na prometnih sredstvih,1,požari na sredstvih cestnega prometa,0,8.550
IGE,2007,20,Požari na prometnih sredstvih,1,požari na sredstvih cestnega prometa,1,8.449
IGE,2008,12,Požari na prometnih sredstvih,4,požari na sredstvih cestnega prometa,0,7.177
IGE,2009,19,Požari na prometnih sredstvih,5,požari na sredstvih cestnega prometa,3,7.910
IGE,2010,10,Požari na prometnih sredstvih,3,požari na sredstvih cestnega prometa,1,5.725
IGE,2011,16,Požari na prometnih sredstvih,6,požari na sredstvih cestnega prometa,4,8.223
IGE,2012,9,Požari na prometnih sredstvih,0,požari na sredstvih cestnega prometa,0,9.137
IGE,2013,12,Požari na prometnih sredstvih,2,požari na sredstvih cestnega prometa,1,7.130
IGE,2014,3,Požari na prometnih sredstvih,1,požari na sredstvih cestnega prometa,1,5.917
IGE,2015,11,Požari na prometnih sredstvih,2,požari na sredstvih cestnega prometa,1,6.955
IGE,2016,11,Požari na prometnih sredstvih,6,požari na sredstvih cestnega prometa,5,7.496
IGE,2017,23,Požari na prometnih sredstvih,4,požari na sredstvih cestnega prometa,3,8.595
IGE,2005,14,Požari na prometnih sredstvih,1,"požari na delovnih, kmetijskih in gradbenih strojih",0,6.831
IGE,2006,17,Požari na prometnih sredstvih,1,"požari na delovnih, kmetijskih in gradbenih strojih",0,8.550
IGE,2007,20,Požari na prometnih sredstvih,1,"požari na delovnih, kmetijskih in gradbenih strojih",0,8.449
IGE,2008,12,Požari na prometnih sredstvih,4,"požari na delovnih, kmetijskih in gradbenih strojih",2,7.177
IGE,2009,19,Požari na prometnih sredstvih,5,"požari na delovnih, kmetijskih in gradbenih strojih",0,7.910
IGE,2010,10,Požari na prometnih sredstvih,3,"požari na delovnih, kmetijskih in gradbenih strojih",0,5.725
IGE,2011,16,Požari na prometnih sredstvih,6,"požari na delovnih, kmetijskih in gradbenih strojih",0,8.223
