aktivnost,stevilo,enota
POŽARI IN EKSPLOZIJE,3,ZALOG - SP.KAŠELJ
POŽARI IN EKSPLOZIJE,1,ZAMUŠANI
POŽARI IN EKSPLOZIJE,3,ZASIP
TEHNIČNA IN DRUGA POMOČ,1,ZASIP
POŽARI IN EKSPLOZIJE,1,ZAVRATEC
POŽARI IN EKSPLOZIJE,1,ZAVRH PRI GALICIJI
NESREČE V PROMETU,1,ZBURE
POŽARI IN EKSPLOZIJE,2,ZBURE
DRUGE NESREČE,2,ZG. KAŠELJ
POŽARI IN EKSPLOZIJE,1,ZG. KAŠELJ
DRUGE NESREČE,4,ZGORNJA KUNGOTA
POŽARI IN EKSPLOZIJE,5,ZGORNJA KUNGOTA
TEHNIČNA IN DRUGA POMOČ,2,ZGORNJA KUNGOTA
DRUGE NESREČE,1,ZGORNJI BRNIK
NARAVNE NESREČE,1,ZGORNJI BRNIK
POŽARI IN EKSPLOZIJE,4,ZGORNJI BRNIK
TEHNIČNA IN DRUGA POMOČ,2,ZGORNJI BRNIK
DRUGE NESREČE,1,ZGORNJI TUHINJ
POŽARI IN EKSPLOZIJE,1,ZGORNJI TUHINJ
POŽARI IN EKSPLOZIJE,2,ZIBIKA
POŽARI IN EKSPLOZIJE,2,ZRKOVCI
DRUGE NESREČE,3,ŽALEC
NARAVNE NESREČE,2,ŽALEC
NESREČE V PROMETU,2,ŽALEC
POŽARI IN EKSPLOZIJE,16,ŽALEC
TEHNIČNA IN DRUGA POMOČ,20,ŽALEC
POŽARI IN EKSPLOZIJE,1,ŽDINJA VAS
TEHNIČNA IN DRUGA POMOČ,1,ŽEJE - SVETA TROJICA
POŽARI IN EKSPLOZIJE,2,ŽELIMLJE
NARAVNE NESREČE,1,ŽEROVINCI
TEHNIČNA IN DRUGA POMOČ,2,ŽEROVINCI
DRUGE NESREČE,1,ŽIČE
TEHNIČNA IN DRUGA POMOČ,1,ŽIČE
DRUGE NESREČE,1,ŽIMARICE - GLOBEL - PODKLANEC
POŽARI IN EKSPLOZIJE,1,ŽIMARICE - GLOBEL - PODKLANEC
DRUGE NESREČE,1,ŽUŽEMBERK
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,ŽUŽEMBERK
NARAVNE NESREČE,1,ŽUŽEMBERK
NESREČE V PROMETU,6,ŽUŽEMBERK
POŽARI IN EKSPLOZIJE,4,ŽUŽEMBERK
TEHNIČNA IN DRUGA POMOČ,4,ŽUŽEMBERK
