Omejitve
"Omejitve:
Skupina dogodkov: Požari na prometnih sredstvih
ReCO: vse
Občina: vse
Leto: 
2010
Mesec: vse
Dan: vse"

Dogodek,Textbox20,OpisRanga,Textbox24,NastanekDatumCas,PKID,Textbox15
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,15.11.2010 13:54:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,21.11.2010 13:33:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,28.11.2010 12:32:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,29.11.2010 12:47:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,30.11.2010 14:57:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,4.12.2010 13:34:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,15.12.2010 12:07:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,25.12.2010 12:03:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,4.1.2010 16:41:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,6.1.2010 15:09:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,20.1.2010 15:14:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,22.1.2010 15:13:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,24.1.2010 16:54:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,26.1.2010 16:37:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,2.2.2010 17:23:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,5.2.2010 15:02:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,5.2.2010 16:27:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,27.2.2010 17:32:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,1.3.2010 15:22:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,3.3.2010 17:51:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,6.3.2010 16:20:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,7.3.2010 17:37:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,16.3.2010 15:29:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,19.3.2010 15:23:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,20.3.2010 17:31:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,25.3.2010 16:26:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,1.4.2010 17:05:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,11.4.2010 16:14:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,13.4.2010 17:09:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,29.4.2010 15:31:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,30.4.2010 16:29:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,7.5.2010 15:45:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,17.5.2010 17:46:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,26.5.2010 16:26:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,27.5.2010 15:37:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,29.5.2010 15:53:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,4.6.2010 17:49:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,9.6.2010 15:00:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,10.6.2010 16:20:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,18.6.2010 17:31:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,2.7.2010 15:28:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,5.7.2010 15:37:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,9.7.2010 15:14:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,14.7.2010 17:52:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,22.7.2010 15:13:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,25.7.2010 15:43:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,26.7.2010 17:51:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,31.7.2010 15:14:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,22.8.2010 16:20:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,22.8.2010 17:16:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,24.8.2010 17:46:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,31.8.2010 15:33:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,9.9.2010 16:01:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,11.9.2010 17:28:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,15.9.2010 17:00:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,21.9.2010 16:25:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,23.9.2010 17:31:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,1.10.2010 15:51:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,1.10.2010 17:17:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,6.10.2010 17:17:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,11.10.2010 17:47:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,14.10.2010 17:43:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,29.10.2010 16:03:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,7.11.2010 15:07:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,9.11.2010 15:55:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,9.11.2010 16:15:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,27.11.2010 17:08:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,30.11.2010 17:20:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,30.11.2010 17:25:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,7.12.2010 17:10:00,1,437
